age,monthly_income,employment_status,years_employed,credit_history_years,existing_loans,late_payments,defaulted_before,requested_amount,monthly_debt,debt_to_income,loan_to_income,credit_score,risk_level,approved
56,38984,Self-Employed,24,16,0,5,0,70950,4845,0.12428175661809973,0.1516647855530474,605.9863020726452,Medium,1
46,29616,Self-Employed,3,6,1,4,1,64612,3598,0.1214883846569422,0.18180488024491265,464.5131010264722,High,0
32,5113,Employed,9,13,2,1,0,69873,2392,0.46782710737336203,1.1388128300410718,550.5319773127322,Medium,1
60,16760,Unemployed,18,11,0,3,0,120792,4112,0.24534606205250598,0.6005966587112171,579.5226730310262,Medium,1
25,24927,Employed,17,16,4,1,0,198074,2871,0.11517631483933084,0.6621802329468716,616.448028242468,Medium,1
38,23939,Employed,4,13,4,4,0,188580,2677,0.11182589080579806,0.6564601695977276,542.1932829274406,High,0
56,35419,Employed,29,5,0,3,0,174451,1401,0.03955504107964652,0.41044590003482123,585.6266410683531,Medium,1
36,15588,Employed,18,18,4,1,0,129814,817,0.05241211188093405,0.6939846890770678,632.0714652296639,Medium,1
40,39142,Unemployed,25,5,4,3,0,20231,1660,0.042409687803382556,0.04307180692521247,567.3265290480814,Medium,1
28,36397,Employed,22,17,1,2,0,92385,4562,0.12534000054949584,0.21152155397422864,657.2679066956068,Medium,1
28,19653,Employed,26,4,2,2,1,46163,4723,0.2403195440899608,0.19574195627469937,469.41713733272275,High,0
41,13831,Employed,21,5,1,5,0,126880,2438,0.1762706962620201,0.7644662955197262,497.979538717374,High,0
53,8724,Employed,15,1,2,2,0,167748,2983,0.3419303071985328,1.6023613021549747,457.8266850068776,High,0
57,14083,Employed,0,7,4,1,0,92592,1210,0.08591919335368885,0.5478946247248455,581.8160193140666,Medium,1
41,22816,Employed,11,14,2,4,0,111564,599,0.026253506311360447,0.4074772089761571,592.4009467040673,Medium,1
20,9276,Employed,23,14,4,3,0,60535,1846,0.19900819318671842,0.5438317521920368,563.4891116860715,Medium,1
39,16994,Unemployed,1,10,4,0,0,115952,1855,0.10915617276685889,0.5685928366874583,612.7856890667294,Medium,1
19,26499,Employed,20,0,1,2,0,182182,1887,0.07121023434846598,0.5729209907292099,557.0795124344314,Medium,1
41,26040,Employed,24,17,1,2,1,183050,679,0.0260752688172043,0.5857974910394266,546.7231182795699,High,0
61,19959,Employed,7,11,3,0,0,140824,3252,0.1629340147301969,0.5879720092857024,620.1695976752343,Medium,1
47,9099,Self-Employed,17,11,0,0,0,29507,1835,0.20167051324321353,0.2702403194490237,664.585119243873,Medium,1
55,22576,Employed,24,10,3,1,0,129225,4030,0.17850815024805103,0.47699991141034725,599.959027285613,Medium,1
19,38946,Employed,15,7,3,3,0,115282,2177,0.05589790992656499,0.24667060374193328,573.4920145842963,Medium,1
38,9116,Employed,4,6,2,2,0,177567,148,0.016235190873189996,1.623217419921018,520.6587318999561,High,0
50,18563,Unemployed,25,1,4,4,0,196958,1495,0.08053655120400798,0.8841871823879043,472.2843829122447,High,0
29,29788,Employed,29,10,4,1,0,75559,4913,0.16493218745803678,0.21137986213687837,607.5253457768229,Medium,1
39,29928,Self-Employed,21,9,4,1,0,5982,1744,0.0582731889869019,0.016656642608928095,627.0078187650361,Medium,1
61,39336,Employed,12,2,0,4,0,134128,1646,0.041844620703681105,0.2841502271032472,557.9296318893635,Medium,1
42,12847,Employed,18,19,2,4,0,152218,2995,0.23312835681482058,0.9873770789548793,557.7819724449288,Medium,1
44,29155,Self-Employed,28,9,2,5,0,190915,1672,0.05734865374721317,0.5456897044532099,535.3767792831418,High,0
59,17135,Employed,2,17,4,4,0,81737,1939,0.1131601984242778,0.39751483318743314,577.5698861978407,Medium,1
45,20774,Unemployed,25,13,3,0,0,87446,657,0.0316260710503514,0.35078303006963835,660.1578896697795,Medium,1
33,4742,Unemployed,7,17,0,2,0,93567,3667,0.7733024040489245,1.644295655841417,503.545972163644,High,0
32,21309,Unemployed,26,7,3,5,1,28636,1053,0.04941573982824159,0.1119871102976833,442.35088460275,High,0
64,3619,Employed,25,9,1,0,1,87850,4071,1.1248963802155292,2.022888459058672,328.6391268306162,High,0
